time,,open,high,low,close,volume
2008.04.30,0:00,870.4,878.3,862.2,876.7,8606
2008.05.01,0:00,876.9,881.4,847,852.2,9008
2008.05.02,0:00,851.9,858.8,844.9,855.9,7366
2008.05.05,0:00,858,874,857.4,873.6,5440
2008.05.06,0:00,873.7,882.4,871.2,875.4,5786
2008.05.07,0:00,875.6,880.7,863.4,867.9,6689
2008.05.08,0:00,868.9,885.1,865.2,882.7,6940
2008.05.09,0:00,883.1,889.3,870.4,884.3,6420
2008.05.12,0:00,883.5,889.4,877.5,882.4,7116
2008.05.13,0:00,882.5,885.2,860.5,866.1,7740
2008.05.14,0:00,866,870.6,859.6,864.5,7501
2008.05.15,0:00,864.4,887.2,861.9,881.2,6674
2008.05.16,0:00,881.8,904.4,879.8,902.1,6831
2008.05.19,0:00,902.1,913.5,900.5,904.6,6071
2008.05.20,0:00,905,923.1,902.4,918.9,5753
2008.05.21,0:00,920.4,932.3,916,932.1,5937
2008.05.22,0:00,931.9,934.9,917,920.9,7307
2008.05.23,0:00,920.6,928.8,914.7,924.5,5526
2008.05.26,0:00,924.8,928.8,923.2,928.6,1813
2008.05.27,0:00,928.5,930.5,904,905,6402
2008.05.28,0:00,905.5,909.5,889,900.7,6554
2008.05.29,0:00,902.4,902.9,873.2,876.9,7871
2008.05.30,0:00,877.6,888.8,870.4,886.3,6428
2008.06.02,0:00,887.9,897,880.8,890,6424
2008.06.03,0:00,890.3,896.4,875,880.2,6514
2008.06.04,0:00,880.1,886.3,875.7,878.1,6874
2008.06.05,0:00,877.9,879.4,864.6,877.9,6019
2008.06.06,0:00,877.7,901.9,877,901.8,7560
2008.06.09,0:00,902.3,908.8,890.8,892.3,9116
2008.06.10,0:00,892,894.6,863.8,866.7,8022
2008.06.11,0:00,867.9,882.5,867,880,6878
2008.06.12,0:00,880.3,881.9,857.1,868.8,6902
2008.06.13,0:00,868.6,874,859.2,871,7216
2008.06.16,0:00,870,894.3,866.3,881.8,6495
2008.06.17,0:00,881.7,888.2,873.8,882.1,7096
2008.06.18,0:00,881.4,895.4,880,893.7,6863
2008.06.19,0:00,894,908.3,886.5,898.1,7171
2008.06.20,0:00,897.7,907.4,895.6,901.6,6953
2008.06.23,0:00,901.7,907.1,875.8,883.5,6685
2008.06.24,0:00,883.7,893.7,882.5,889.4,5839
2008.06.25,0:00,889.3,890.3,873.2,885.8,7523
2008.06.26,0:00,886.2,917.8,884.5,916.5,7267
2008.06.27,0:00,916.4,930.4,910,927.3,7868
2008.06.30,0:00,928.4,934.9,918.2,924.6,7671
2008.07.01,0:00,926.1,945.6,921.7,939.3,8044
2008.07.02,0:00,940,945.3,931.4,944.8,7183
2008.07.03,0:00,944.3,946.2,927.5,933.5,8211
2008.07.04,0:00,932,936,928.7,933.6,2536
2008.07.07,0:00,932.1,932.3,914.7,926,9200
2008.07.08,0:00,925.9,932.8,912.4,919.6,8451
2008.07.09,0:00,920.3,928.5,915.7,928,7462
2008.07.10,0:00,928.2,947.4,925.2,946.6,8003
2008.07.11,0:00,944.9,967.4,941.3,963.7,9884
2008.07.14,0:00,965.8,974.9,953.7,972.2,9411
2008.07.15,0:00,973,988,968,977,10224
2008.07.16,0:00,977.3,980.9,957.3,960,9717
2008.07.17,0:00,959.8,978.4,952.7,958.1,10592
2008.07.18,0:00,957.1,964.2,949.5,954.5,8400
2008.07.21,0:00,956.5,968,955,966,6453
2008.07.22,0:00,965.8,975.7,943.3,945.7,7739
2008.07.23,0:00,946.3,948.7,917.6,920.2,9021
2008.07.24,0:00,921.2,930.8,916.5,927,6299
2008.07.25,0:00,926.8,934.8,918.4,929.1,7758
2008.07.28,0:00,928,932.5,922.4,930.3,7098
2008.07.29,0:00,930.4,932.9,913.9,917.3,7009
2008.07.30,0:00,918.2,919.3,893.6,905.8,7305
2008.07.31,0:00,907.1,925.1,906.6,913.3,7482
2008.08.01,0:00,913.8,916.7,901.7,910.3,6976
2008.08.04,0:00,910.8,915.1,893.6,894.7,8968
2008.08.05,0:00,894.9,895.3,872.3,873.7,8782
2008.08.06,0:00,873.7,886,872.5,879.1,7399
2008.08.07,0:00,879.4,884.5,867.5,872.8,8875
2008.08.08,0:00,871.8,873.6,850.5,856.2,9571
2008.08.11,0:00,855.7,865.6,818.1,822.6,9658
2008.08.12,0:00,822.7,826.6,801.8,811.3,13484
2008.08.13,0:00,811.6,829.4,804.9,826.1,10276
2008.08.14,0:00,826,836.3,804.4,806,9378
2008.08.15,0:00,806.2,806.6,772.6,787.1,11655
2008.08.18,0:00,790.5,803.7,789.3,798.8,9604
2008.08.19,0:00,799.7,816.4,781.9,813.6,9153
2008.08.20,0:00,813.2,818,799.7,813.1,10406
2008.08.21,0:00,813,838.8,811.3,835.9,8873
2008.08.22,0:00,834.2,837.7,820.9,822.7,6393
2008.08.25,0:00,824.6,825.7,815.8,821,8974
2008.08.26,0:00,821.8,830.2,806.6,824.1,7970
2008.08.27,0:00,823.5,834.6,821.6,826.4,9195
2008.08.28,0:00,826.5,843.7,825,833.7,8452
2008.08.29,0:00,832.6,838.4,829.1,830.7,7415
2008.09.01,0:00,834.6,836.1,815.4,817.6,3947
2008.09.02,0:00,816.9,819.6,790.4,805,9822
2008.09.03,0:00,805.1,808,789.1,802.3,9840
2008.09.04,0:00,801.2,814.4,793,793,9076
2008.09.05,0:00,795,818.8,790.2,803.3,9540
2008.09.08,0:00,813.5,817.8,796.6,801.8,8114
2008.09.09,0:00,801.4,804.6,775.6,775.8,10174
2008.09.10,0:00,776.1,783.4,751.3,752,11938
2008.09.11,0:00,751.4,757.7,735.9,747.3,10629
2008.09.12,0:00,748.6,766.2,745.9,764.9,8803
2008.09.15,0:00,775.3,787.3,764.2,787.3,9916
2008.09.16,0:00,786.9,789.5,771.9,778.2,9603
2008.09.17,0:00,776.9,868.1,773.8,863.5,10818
2008.09.18,0:00,862,909.7,835.9,851.7,13184
2008.09.19,0:00,852,877.1,824.1,872.8,12436
2008.09.22,0:00,872.4,908.4,861.7,897.6,12008
2008.09.23,0:00,900.1,909.3,880.2,891.3,12192
2008.09.24,0:00,890.2,900.6,875,881,9235
2008.09.25,0:00,879.8,897.1,863.4,876.3,12312
2008.09.26,0:00,877.2,911.2,865.6,877.8,11272
2008.09.29,0:00,872,923.9,866.8,905.7,16961
2008.09.30,0:00,906.1,914.4,856.7,870.9,15086
2008.10.01,0:00,871.6,893.1,864.4,869.9,13676
2008.10.02,0:00,870.6,876,829.7,836.2,13440
2008.10.03,0:00,836.4,847.1,819,835.3,11754
2008.10.06,0:00,833,875.8,825.4,858.6,10764
2008.10.07,0:00,858.1,891.1,856.3,888.1,9979
2008.10.08,0:00,888.6,920.9,877.7,908,9627
2008.10.09,0:00,906.5,924.2,881.2,913,9774
2008.10.10,0:00,912,931.1,826.6,849.6,17909
2008.10.13,0:00,852.4,871.9,822.3,831.6,11010
2008.10.14,0:00,832.7,853.7,831.9,836.2,10455
2008.10.15,0:00,837.3,856.5,831.2,847.5,9769
2008.10.16,0:00,847.8,849.9,785.1,805.5,10372
2008.10.17,0:00,805.9,814.8,772.4,782.8,10994
2008.10.20,0:00,782.9,809.7,781.5,792.3,13174
2008.10.21,0:00,796.9,803.3,765.3,771.1,12848
2008.10.22,0:00,775.5,776.6,720.2,729.2,14063
2008.10.23,0:00,728,735,698.4,723.8,13401
2008.10.24,0:00,723.9,747.5,681.4,733.2,15720
2008.10.27,0:00,735,746.7,706.6,730.4,11395
2008.10.28,0:00,730.5,755.4,723.8,750.9,10606
2008.10.29,0:00,750.8,774.2,737.3,756.7,10307
2008.10.30,0:00,757.1,777.6,732.9,738.4,14090
2008.10.31,0:00,738.3,741.4,717.1,723.7,12420
2008.11.03,0:00,726.7,738.9,721.6,722.7,10739
2008.11.04,0:00,722.8,767.5,721.4,762.7,10496
2008.11.05,0:00,768,768.6,736.2,737.7,13528
2008.11.06,0:00,739,760.1,729.1,731.6,13103
2008.11.07,0:00,733.4,744.6,725.3,735.8,11277
2008.11.10,0:00,738.1,767.9,738.1,744.7,12329
2008.11.11,0:00,745.6,749.9,726.6,731.6,10864
2008.11.12,0:00,732.2,738.7,708.9,710.6,11467
2008.11.13,0:00,710.8,739.1,699.7,736,16122
2008.11.14,0:00,734.4,753.7,725,741.2,14285
2008.11.17,0:00,740.9,749.1,730.6,736.5,12472
2008.11.18,0:00,736.6,745.8,731.2,737.6,11769
2008.11.19,0:00,737.8,761.6,731.5,734.6,14528
2008.11.20,0:00,735.1,752.1,732.5,744.9,14042
2008.11.21,0:00,745.1,801.3,742.2,800,14275
2008.11.24,0:00,801.8,829.3,785.9,821,19094
2008.11.25,0:00,821.2,830.5,803.1,820.4,13409
2008.11.26,0:00,820.3,822.9,808.5,810.5,11691
2008.11.27,0:00,812.3,816.9,809.5,815.9,4491
2008.11.28,0:00,816,820.3,809.2,817.5,9447
2008.12.01,0:00,818.5,818.5,767.2,768.7,16625
2008.12.02,0:00,767.3,785.7,762.1,781.8,19583
2008.12.03,0:00,781.9,783,764.1,773.9,17293
2008.12.04,0:00,774.6,782,762.3,766.3,18899
2008.12.05,0:00,765.8,772.5,741.1,755.7,11239
2008.12.08,0:00,754.3,781.8,754.3,771.9,16682
2008.12.09,0:00,771.7,779.9,762.5,776.2,9583
2008.12.10,0:00,776.1,812.9,774,809.3,11932
2008.12.11,0:00,808,834.3,801.6,819.9,13096
2008.12.12,0:00,819.3,828.5,807.6,821.3,6497
2008.12.15,0:00,824.2,841.9,822.1,836.6,10686
2008.12.16,0:00,836.8,859.1,830,856.7,13460
2008.12.17,0:00,855.6,881.5,846.1,867.3,15463
2008.12.18,0:00,866,878.1,848.4,852,14196
2008.12.19,0:00,852.2,853.3,829.6,837.5,13748
2008.12.22,0:00,837.7,851.1,836.3,847,17350
2008.12.23,0:00,847.4,848.2,829.9,839.8,15170
2008.12.24,0:00,839.7,848.3,834.4,847.4,7952
2008.12.26,0:00,842.9,871.1,842.6,867,4033
2008.12.29,0:00,876.4,887.8,872.4,877.9,3839
2008.12.30,0:00,878.6,881.6,862.7,871.4,8406
2008.12.31,0:00,871.8,872.3,855.3,865.9,4856
2009.01.02,0:00,874.2,879.8,867.3,874.6,7562
2009.01.05,0:00,881.8,884.1,844.8,857.8,18398
2009.01.06,0:00,857.9,869.8,839,863.1,19090
2009.01.07,0:00,863.3,866.6,836.1,842,17889
2009.01.08,0:00,842.7,863.7,836.2,856.2,19525
2009.01.09,0:00,856,868,844.4,853,17293
2009.01.12,0:00,853.5,853.8,814.9,820.1,5426
2009.01.13,0:00,821.7,830.1,813.6,820.7,16169
2009.01.14,0:00,820.9,828.9,806.5,811,17335
2009.01.15,0:00,810.3,820.8,801.9,816.7,19436
2009.01.16,0:00,816.6,842.7,815,841.7,11074
2009.01.19,0:00,843.5,845.4,831.9,834.8,9181
2009.01.20,0:00,834.5,865.8,823.2,855.9,17418
2009.01.21,0:00,855.8,863.8,843.4,853.4,14715
2009.01.22,0:00,854,862.5,844,856.5,16250
2009.01.23,0:00,856.4,902.7,852.2,898.7,19559
2009.01.26,0:00,897.9,915.4,888.8,904.4,13803
2009.01.27,0:00,903,907.3,892.1,897.7,16841
2009.01.28,0:00,899.3,902.5,881.9,887.4,16287
2009.01.29,0:00,888.7,908.9,874.2,908.8,19518
2009.01.30,0:00,908.3,929.2,900.6,926.5,19609
2009.02.02,0:00,927.6,927.6,900.8,903.7,13047
2009.02.03,0:00,904.1,912.3,888.9,900,12447
2009.02.04,0:00,899.3,908.9,895.2,904.9,10409
2009.02.05,0:00,904.8,923.9,901.8,914.1,11011
2009.02.06,0:00,913.8,919.4,904.1,910.7,7652
2009.02.09,0:00,910.2,910.6,890.4,894.8,10331
2009.02.10,0:00,894.5,917.6,890.8,914.1,10551
2009.02.11,0:00,914.4,946.7,910.3,938.4,5839
